Manufacturer,name,focal length,max aperture (T),close focus,image circle,front diameter,filter thread,weight,length,original mount,iris blades,notes,magnification ratio,entrance pupil
,,100mm,2.1,"2' 10""",46.5mm,95mm,92mm,2100g,160mm,LPL,13,,,
,,125mm,2.1,"4' 2""",46.5mm,114mm,112mm,2500g,160mm,LPL,,,,
,,150mm,,5',46.5mm,,,,,LPL,,,,
,,,,,,,,,,,,,,
,Leitz Prime,18mm,1.8,"1' 10""",46.5mm,114mm,112mm,3200g,202mm,PL / LPL,15,,,
,,21mm,1.8,"1' 10""",46.5mm,114mm,112mm,2760g,184mm,PL / LPL,15,,,
,,25mm,1.8,"1' 10""",46.5mm,114mm,112mm,2800g,184mm,PL / LPL,15,,,
,,29mm,1.8,"1' 2""",46.5mm,114mm,112mm,2670g,184mm,PL / LPL,15,,,
,,35mm,1.8,"1' 6""",46.5mm,114mm,112mm,2870g,184mm,PL / LPL,15,,,
,,40mm,1.8,"1' 2""",46.5mm,114mm,112mm,2710g,184mm,PL / LPL,15,,,
,,50mm,1.8,"1' 7""",46.5mm,114mm,112mm,2700g,184mm,PL / LPL,15,,,
,,65mm,1.8,"2' 2""",46.5mm,114mm,112mm,2780g,184mm,PL / LPL,15,,,
,,75mm,1.8,"2' 6""",46.5mm,114mm,112mm,2830g,184mm,PL / LPL,15,,,
,,100mm,1.8,"3' 3""",46.5mm,114mm,112mm,2770g,184mm,PL / LPL,15,,,
,,135mm,1.8,"3' 11""",46.5mm,114mm,112mm,2890g,184mm,PL / LPL,15,,,
,,180mm,2.0,"4' 11""",46.5mm,114mm,112mm,3100g,202mm,PL / LPL,15,,,
,,350mm,3.6,"9' 10""",46.5mm,114mm,112mm,4400g,317mm,PL / LPL,21,,,
,,,,,,,,,,,,,,
Masterbuilt,Classic,18mm,1.4,"18""",,114mm,,2600g,,PL / LPL / PV,,,,
,and,25mm,1.4,"14""",,114mm,,2100g,,PL / LPL / PV,,,,
,Soft Flare,28mm,1.4,"14""",,114mm,,2100g,,PL / LPL / PV,,,,
,,35mm,1.4,"16""",,114mm,,1900g,,PL / LPL / PV,,,,
,,40mm,1.4,18',,114mm,,2200g,,PL / LPL / PV,,,,
,,50mm,1.4,"19""",,114mm,,2000g,,PL / LPL / PV,,,,
,,65mm,1.4,"2' 4""",,114mm,,2200g,,PL / LPL / PV,,,,
,,85mm,1.4,"3' 3""",,114mm,,2000g,,PL / LPL / PV,,,,
,,105mm,1.4,"3' 9""",,114mm,,2500g,,PL / LPL / PV,,,,
,,135mm,1.4,"4' 7""",,114mm,,2900g,,PL / LPL / PV,,,,
,,,,,,,,,,,,,,
,Super Wide,14.5mm,1.9,"10""",,136mm,,1600g,,PL / LPL / PV,,,,
,,,,,,,,,,,,,,
,Portrait,32mm,1.4,"16""",,114mm,,1900g,,PL / LPL / PV,,,,
,,55mm,1.4,"19""",,114mm,,2000g,,PL / LPL / PV,,,,
,,100mm,1.4,"3' 9""",,114mm,,2500g,,PL / LPL / PV,,,,
,,,,,,,,,,,,,,
,Anastigmat,110mm,1.8,,,,,,,PL / LPL / PV,,,,
,,160mm,1.8,"4' 7""",,114mm,,2900g,,PL / LPL / PV,,,,
,,,,,,,,,,,,,,
,SuperScope,13mm,2.7,"8""",,136mm,,1500g,104mm,PL / LPL / PV,,,,
,,19mm,1.4,"13""",,136mm,,1590g,119mm,PL / LPL / PV,,,,
,,24mm,1.4,"12""",,136mm,,1500g,114mm,PL / LPL / PV,,,,
,,35mm,1.4,"12""",,136mm,,1500g,114mm,PL / LPL / PV,,,,
,,50mm,1.2,"18""",,136mm,,1400g,114mm,PL / LPL / PV,,,,
,,80mm,1.2,"3' 3""",,136mm,,1680g,119mm,PL / LPL / PV,,,,
,,110mm,1.4,"3' 11""",,136mm,,2680g,150mm,PL / LPL / PV,,,,
